gem_location_id,plant_name,province,latitude,longitude,treated,pilot,cohort_year,year,q,yq,so2_mean,so2_median,n_valid_days,so2_std
L100000101114,Shuangliao power station,Jilin,43.5282178,123.4633255,0,,0,2019,1,2019Q1,-0.1846573755326794,-0.0766666606068611,41,1.0510112768831832
L100000101160,Yingkou power station,Liaoning,40.303837,122.105968,0,,0,2019,1,2019Q1,0.1439238152067576,0.103333331644535,35,0.4412341594879166
L100000101178,Suizhong power station,Liaoning,40.07962,120.00959,0,,0,2019,1,2019Q1,-0.0111178550869226,0.0087499935179948,40,0.420876893381886
L100000101181,Tieling power station,Liaoning,42.3450141,123.8030455,0,,0,2019,1,2019Q1,-0.0752956335491035,-0.0114285689778625,36,0.363667171556258
L100000101187,Daba power station,Ningxia,37.9916691,105.9247833,0,,0,2019,1,2019Q1,0.0821505385270762,0.0299999993294477,31,0.3127466042892037
L100000101190,Ningdong Fangjiazhuang power station,Ningxia,37.837649,106.666501,0,,0,2019,1,2019Q1,0.0304624053012383,0.0378571338951587,38,0.4363508357087145
L100000101191,Shizuishan power station,Ningxia,39.2848224,106.7890371,0,,0,2019,1,2019Q1,0.1169949481828194,0.00999999884516,33,0.4676562046841924
L100000101192,Ningdong power station,Ningxia,37.844757,106.786777,0,,0,2019,1,2019Q1,0.0428449163225957,0.0474999994039535,37,0.4270230850904878
L100000101203,Ningxia Lingwu power station,Ningxia,38.148333,106.345833,0,,0,2019,1,2019Q1,0.0056666595264687,0.020833333954215,32,0.2872611475322379
L100000101219,Yuanyang Lake power station,Ningxia,38.0575,106.691389,0,,0,2019,1,2019Q1,0.0057763141261315,0.0500000026077031,38,0.3868888568352543
L100000101244,Fugu Qingshuichuan power station,Shaanxi,39.2048853,111.1190328,0,,0,2019,1,2019Q1,-0.0064471532567972,0.0099999997764825,41,0.5230526642223537
L100000101246,Guodian Baoji-2 power station,Shaanxi,34.4980333,107.2181511,0,,0,2019,1,2019Q1,0.03323611320876,-0.0133333280682563,36,0.2260030144523768
L100000101252,Hancheng power station,Shaanxi,35.6007189,110.5557051,0,,0,2019,1,2019Q1,0.1924850086647051,0.2039999961853027,27,0.2685474377864716
L100000101265,Leilongwan power station,Shaanxi,37.925376,109.101678,0,,0,2019,1,2019Q1,0.063658009988792,0.0871428623795509,33,0.2557390819121433
L100000101269,Pucheng power station,Shaanxi,34.9779314,109.7999759,0,,0,2019,1,2019Q1,0.1692272696474736,0.2550000101327896,22,0.3337144163502624
